Subject Area Code,Subject Area,Offered by,Campus
PATH,Pathology,School of Biomedical Sciences,Kensington
PHAR,Pharmacology,School of Biomedical Sciences,Kensington
PHCM,Public Health and Community Medicine,School of Population Health,Kensington
PHRM,Pharmacy,School of Health Sciences,Kensington
PHSL,Physiology,School of Biomedical Sciences,Kensington
PHTN,Photonics,School of Elec Eng & Telco,Kensington
PHYS,Physics,School of Physics,Kensington
PLAN,Planning and Urban Development,Planning & Urban Development,Kensington
PLTX,Practical Legal Training Program,Faculty of Law and Justice,Kensington
POLS,Politics and International Relations,School of Social Sciences,Kensington
PPEC,"Philosophy, Politics and Economics","Faculty of Arts, Design & Arch",Kensington
PSCY,Psychiatry - PH/POW,School of Clinical Medicine,Kensington
PSYC,Psychology,School of Psychology,Kensington
PTRL,Petroleum Engineering,School of Petroleum Eng,Kensington
REGZ,Registrar's Division,Div. Registrar & Deputy Princ,Kensington
REST,Real Estate,Building Construction Mgt Prog,Kensington
RISK,Risk Management,School of Risk&Safety Sciences,Kensington
SCIF,Faculty of Science,Faculty of Science,Kensington
SENG,Software Engineering,School of Computer Sci & Eng,Kensington
SLSP,Social Science and Policy,School of Social Sciences,Kensington
SOCA,Sociology and Anthropology,School of Social Sciences,Kensington
SOCF,Social Work,School of Social Sciences,Kensington
SOCW,Social Work,School of Social Sciences,Kensington
SOLA,Photovoltaics and Solar Energy,Photovoltaic Engineering,Kensington
SOMS,Medical Science,School of Biomedical Sciences,Kensington
SOSS,Social Sciences,School of Social Sciences,Kensington
SPRC,Social Policy,"Faculty of Arts, Design & Arch",Kensington
SRAP,Social Research and Policy,School of Social Sciences,Kensington
STAM,Arts and Media,School of the Arts & Media,Kensington
SURG,Surgery - PH/POW,School of Clinical Medicine,Kensington
SUSD,Sustainable Development,"Faculty of Arts, Design & Arch",Kensington
SWCH,Women & Children's Health,School of Clinical Medicine,Kensington
TABL,Taxation and Business Law,"School of Acctng, Audit & Tax",Kensington
TELE,Telecommunications,School of Elec Eng & Telco,Kensington
UDES,Urban Development Studies,"Faculty of Arts, Design & Arch",Kensington
VISN,Vision Science,Schl of Optometry & Vision Sci,Kensington
ZZBU,Business Accelerated,UNSW Business School,Kensington
ZZEN,Engineering Accelerated,Faculty of Engineering,Kensington
ZZLJ,Law and Justice Accelerated,Faculty of Law and Justice,Kensington
ZZPS,Psychology Accelerated,School of Psychology,Kensington
ZZSC,Science Accelerated,Faculty of Science,Kensington
ADAD,Art and Design,School of Art & Design,Paddington
DART,Domain Art,School of Art & Design,Paddington
DDES,Domain Design,School of Art & Design,Paddington
FADA,FADA,"Faculty of Arts, Design & Arch",Paddington
SAHT,Art History,School of Art & Design,Paddington
SDES,Design Studies,School of Art & Design,Paddington
ZSPS,Professional Studies Canberra,Canberra Sch of Prof Studies,Canberra City
ZZCA,Canberra Accelerated,UNSW Canberra at ADFA,Canberra City
ZBUS,Business,UC School of Business,Canberra ADFA
ZEIT,Engineering and Technology,School of Engineering & Tech,Canberra ADFA
ZGEN,University College General Education,UNSW Canberra at ADFA,Canberra ADFA
ZHSS,Humanities & Social Sciences,UC Humanities and Soc Science,Canberra ADFA
ZINT,University College (Interdisciplinary),UNSW Canberra at ADFA,Canberra ADFA
ZPEM,"Physical, Environmental & Mathematical Sciences",UC Science,Canberra ADFA
